,T1_CPU,T1_Time,T2_CPU,T2_Time
230,46,1.8057255744934082,146,1.8298842906951904
231,210,1.8087265491485596,323,1.8337113857269287
232,68,1.8005523681640625,152,1.8255877494812012
233,157,1.8049795627593994,224,1.829338550567627
234,214,1.808678150177002,407,1.8297016620635986
235,37,1.8006868362426758,43,1.82076096534729
236,355,1.8027958869934082,370,1.827730417251587
237,37,1.8051815032958984,488,1.829118251800537
238,58,1.8050251007080078,89,1.8253388404846191
239,198,1.8088722229003906,341,1.833120346069336
240,259,1.802081823348999,349,1.8223021030426025
241,222,1.8087255954742432,564,1.829216718673706
242,110,1.8048477172851562,163,1.829038143157959
243,155,1.8018722534179688,210,1.821852684020996
244,199,1.8071796894073486,312,1.8323023319244385
245,378,1.804485559463501,477,1.8295767307281494
246,211,1.7978568077087402,300,1.8279168605804443
